NAME	DESCRIPTION	KrasWT_1	KrasWT_2	KrasWT_3	KrasWT_4	KrasWT_5	KrasWT_6	KrasWT_7	KrasWT_8	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4	KrasG12D_5	KrasG12D_6	KrasG12D_7	KrasG12D_8
ENSMUSG00000034485		428.594284	383.1832988	364.6023907	354.4206674	472.8504069	397.9086066	244.8503696	107.8932849	446.0073618	513.4405162	374.4150022	478.4954344	409.4640445	268.1813822	454.5653411	251.7995644
ENSMUSG00000034487		246.2962602	170.528291	256.9810954	207.2113475	242.8592159	218.2450424	179.2520433	101.6095358	255.3049039	254.4251121	146.5863108	142.4453733	177.4837528	168.749334	171.373919	201.9956958
ENSMUSG00000034501		43.90354367	45.94938401	66.02389841	97.8813905	70.07629431	39.04181929	94.90125645	35.05253889	67.05458046	114.4446768	77.93077989	95.68501477	45.94107868	57.27037297	54.82159312	52.84493751
ENSMUSG00000034509		142.7674615	155.1858255	186.8496463	180.8885049	229.7324294	174.0345814	144.220354	295.1982895	171.4569204	164.4766199	162.8471012	252.4576212	165.0513136	213.2037875	217.0457003	183.2488767
ENSMUSG00000034518		252.8864038	163.5848364	242.6825492	219.7103765	107.7983768	423.8922763	171.8349126	83.8975241	350.5675338	158.5072067	191.1553985	238.9650374	245.7969159	98.72137972	212.6213277	280.1373079
ENSMUSG00000034522		206.3983372	418.0395781	288.9700468	151.2427086	441.8108547	343.299151	184.3043067	578.4437056	206.5104756	124.7753621	296.7707484	238.5097053	329.1686682	421.5424995	566.5653124	241.6465243
ENSMUSG00000034525		497.3833302	422.903536	415.0610758	406.0947994	286.1933613	343.6290054	321.6010046	412.4253917	475.810682	393.4868099	451.7823157	263.5872933	287.2085781	281.5611679	250.4415575	269.5009661
ENSMUSG00000034543		483.8080106	517.9336932	415.6382947	469.0994791	305.5383219	423.7815444	663.2681797	256.7294984	405.106714	678.7513318	745.381866	368.3030851	511.8123605	305.0597844	372.6848688	566.0705468
ENSMUSG00000034544		267.5191227	301.115777	258.691707	290.5842212	341.1620568	325.7187545	287.9844534	273.2082644	236.6228268	273.532466	296.5602676	312.7977236	348.4571267	228.7049237	295.3356578	298.2667444
ENSMUSG00000034557		174.4505084	251.9346828	152.9346787	285.3220887	233.1629147	204.3476124	243.9037875	249.4432479	171.6032379	292.6251571	223.0060521	198.4991099	174.7495432	214.5965202	217.3595854	165.1409895
ENSMUSG00000034560		404.8970119	398.1126319	296.5592298	445.1454341	307.7143184	502.2707418	552.6366366	268.3602291	366.3673193	512.7188958	405.2375253	276.7953721	356.7310736	283.8901238	317.0613565	379.5886219
ENSMUSG00000034563		333.9262841	288.5604546	354.1362525	384.7629313	402.4280454	248.706167	330.3992728	297.485782	353.5520093	372.604667	385.1954301	301.859901	468.2917354	284.5703002	458.9683133	345.8739114
ENSMUSG00000034566		1699.578394	1664.321673	2257.274724	1576.893578	1724.981096	1488.229217	1301.369406	1610.954661	1811.351171	1352.644938	1204.829143	1801.353206	1435.890271	1487.704002	1904.771541	1499.560521
ENSMUSG00000034570		311.4018194	197.1960729	230.0957295	174.3288319	40.08911536	159.6605961	135.9672624	130.9173936	287.0864332	156.3279912	96.17251821	179.7608768	92.24561962	36.62613852	100.5946404	167.5051983
ENSMUSG00000034573		241.5501977	396.0519004	105.2121963	227.8696286	60.64856878	350.5773591	253.5528662	306.1432293	172.9568836	534.1641604	269.7021691	194.5178732	194.2502342	166.4949214	100.2776918	100.661356
ENSMUSG00000034574		154.9233825	106.0187752	90.03693597	128.0769475	0	317.3482886	123.2252564	120.585515	111.6408611	196.3789918	117.2336568	70.79709675	194.3332159	156.3626698	278.6194806	293.3306486
ENSMUSG00000034575		295.4922503	323.5887651	298.3531912	278.9737866	238.5576756	386.1956756	251.3471627	385.4456583	278.4708329	327.7493773	343.1778214	314.8082536	193.4397488	254.1528022	321.1249772	294.6576367
